row,values
1,0.7656666666666667
2,0.6123333333333333
3,0.4453333333333333
4,0.4056666666666667
5,0.422
6,0.404
7,0.40166666666666667
8,0.41
9,0.42
10,0.4023333333333333
11,0.4043333333333333
12,0.393
13,0.3963333333333333
14,0.4226666666666667
15,0.401
16,0.4073333333333333
17,0.41966666666666663
18,0.4056666666666667
19,0.423
20,0.40700000000000003
21,0.4003333333333333
22,0.42633333333333334
23,0.40066666666666667
24,0.415
25,0.4103333333333333
26,0.4013333333333333
27,0.4066666666666667
28,0.397
29,0.40399999999999997
30,0.394
31,0.4066666666666667
32,0.4026666666666667
33,0.4186666666666667
34,0.398
35,0.427
36,0.41433333333333333
37,0.41733333333333333
38,0.40166666666666667
39,0.4103333333333333
40,0.396
41,0.39766666666666667
42,0.403
43,0.396
44,0.39
45,0.406
46,0.391
47,0.415
48,0.393
49,0.4126666666666667
50,0.393
51,0.4046666666666667
52,0.392
53,0.3903333333333333
54,0.38566666666666666
55,0.4186666666666667
56,0.398
57,0.3923333333333333
58,0.399
59,0.4003333333333333
60,0.391
61,0.3903333333333333
62,0.393
63,0.398
64,0.4073333333333333
65,0.375
66,0.39366666666666666
67,0.4116666666666667
68,0.39466666666666667
69,0.4023333333333333
70,0.397
71,0.39466666666666667
72,0.4063333333333333
73,0.4033333333333333
74,0.37233333333333335
75,0.398
76,0.4053333333333333
77,0.37966666666666665
78,0.393
79,0.395
80,0.3853333333333333
81,0.42233333333333334
82,0.40066666666666667
83,0.406
84,0.3913333333333333
85,0.4
86,0.3963333333333333
87,0.40066666666666667
88,0.39166666666666666
89,0.3963333333333333
90,0.398
91,0.39566666666666667
92,0.3903333333333333
93,0.38866666666666666
94,0.408
95,0.40066666666666667
96,0.37466666666666665
97,0.405
98,0.4076666666666667
99,0.4013333333333333
100,0.3993333333333333
101,0.396
102,0.41333333333333333
103,0.4
104,0.37133333333333335
105,0.38766666666666666
106,0.403
107,0.4046666666666667
108,0.39466666666666667
109,0.389
