tools (comparison order: row x column),SC_SCRUM_A,SIC_SCRUM_A,UC_SCRUM_A
SC_SCRUM_A P Value,1.0,6.5575086672931E-5,1.8647261512683144E-10
SC_SCRUM_A Cohen D,0.0,Large,Medium
SC_SCRUM_A Cliff's delta,0.0,0.6,0.9577777777777777
SIC_SCRUM_A P Value,6.5575086672931E-5,1.0,1.6665349594768841E-6
SIC_SCRUM_A Cohen D,Large,0.0,Medium
SIC_SCRUM_A Cliff's delta,-0.6,0.0,0.72
UC_SCRUM_A P Value,1.8647261512683144E-10,1.6665349594768841E-6,1.0
UC_SCRUM_A Cohen D,Medium,Medium,0.0
UC_SCRUM_A Cliff's delta,-0.9577777777777777,-0.72,0.0
