row,values
0,0.689713384952793
1,0.6897188697011168
2,0.6897188697011168
3,0.6897024154561454
4,0.6897138618874298
5,0.6895531017685302
6,0.6896919228941347
7,0.6895471400855697
8,0.6897188697011168
9,0.6893946226376804
10,0.689700984652235
11,0.6895581095822173
12,0.6894146928632372
13,0.6897188697011168
14,0.6895831876214611
15,0.6897079002044693
16,0.6896954999039111
17,0.6897110002796086
18,0.6895532365507141
19,0.6897138618874298
20,0.6895451286618877
21,0.7090099384744972
22,0.6897079002044693
23,0.6897067078678771
24,0.689680953397487
25,0.6897138618874298
26,0.6897126695508377
27,0.6895471400855697
28,0.6897138618874298
29,0.6897079002044693
