tools (comparison order: row x column),SC_NRP_A,SIC_NRP_A,UC_NRP_A
SC_NRP_A P Value,1.0,2.8719471245608474E-11,6.974496589262635E-6
SC_NRP_A Cohen D,0.0,Large,Large
SC_NRP_A Cliff's delta,0.0,-1.0,0.6755555555555556
SIC_NRP_A P Value,2.8719471245608474E-11,1.0,2.8719471245608474E-11
SIC_NRP_A Cohen D,Large,0.0,Large
SIC_NRP_A Cliff's delta,1.0,0.0,1.0
UC_NRP_A P Value,6.974496589262635E-6,2.8719471245608474E-11,1.0
UC_NRP_A Cohen D,Large,Large,0.0
UC_NRP_A Cliff's delta,-0.6755555555555556,-1.0,0.0
