tools (comparison order: row x column),SC_NRP_B,SIC_NRP_B,UC_NRP_B
SC_NRP_B P Value,1.0,0.0013355914259268742,4.420496863222212E-6
SC_NRP_B Cohen D,0.0,Large,Large
SC_NRP_B Cliff's delta,0.0,0.4822222222222222,0.69
SIC_NRP_B P Value,0.0013355914259268742,1.0,0.035782675583701073
SIC_NRP_B Cohen D,Large,0.0,Small
SIC_NRP_B Cliff's delta,-0.4822222222222222,0.0,-0.31555555555555553
UC_NRP_B P Value,4.420496863222212E-6,0.035782675583701073,1.0
UC_NRP_B Cohen D,Large,Small,0.0
UC_NRP_B Cliff's delta,-0.69,0.31555555555555553,0.0
