tools (comparison order: row x column),SC_CRA_A,SIC_CRA_A,UC_CRA_A
SC_CRA_A P Value,1.0,0.4917829569534051,2.8719471245608474E-11
SC_CRA_A Cohen D,0.0,Medium,Large
SC_CRA_A Cliff's delta,0.0,0.10333333333333333,1.0
SIC_CRA_A P Value,0.4917829569534051,1.0,4.285538590664828E-11
SIC_CRA_A Cohen D,Medium,0.0,Large
SIC_CRA_A Cliff's delta,-0.10333333333333333,0.0,0.9911111111111112
UC_CRA_A P Value,2.8719471245608474E-11,4.285538590664828E-11,1.0
UC_CRA_A Cohen D,Large,Large,0.0
UC_CRA_A Cliff's delta,-1.0,-0.9911111111111112,0.0
